ta,rh,v,met,clo,thermal_sensation
25.7,61.9,0.11,1.4,0.7,-1
25.7,59.7,0.46,1.6,0.68,0
24.7,61.2,0.06,1.6,0.68,0
25.8,59.3,0.52,1.6,0.68,0
25.8,59.3,0.52,1.6,0.63,3
26.7,57.1,0.12,1.6,0.66,-1
26.6,57.2,0.18,1.6,0.68,0
26.7,57.2,0.29,1.6,0.68,0
26.5,58.1,0.06,1.4,0.59,0
26.2,57.9,0.27,1.4,0.74,0
26.0,58.4,0.39,1.4,0.57,0
26.2,58.0,0.39,1.4,0.57,0
26.3,57.6,0.45,1.1,0.68,0
25.9,58.4,0.27,1.1,0.74,-1
25.6,60.4,0.03,1.4,0.68,0
26.3,60.0,0.09,1.3,0.64,1
24.8,64.9,0.21,1.4,0.78,0
24.9,64.8,0.25,1.4,0.57,0
25.1,64.4,0.1,1.4,0.7,0
25.1,63.6,0.42,1.4,0.64,2
25.1,63.9,0.2,1.3,0.78,-1
25.1,64.1,0.35,1.3,0.64,0
25.2,64.5,0.07,1.1,0.57,0
25.6,63.2,0.05,1.1,0.57,0
25.4,62.7,0.57,1.3,0.57,-1
25.2,63.6,0.46,1.4,0.7,0
25.3,63.5,0.45,1.1,0.57,-1
25.5,62.9,0.31,1.4,0.57,-2
25.5,62.9,0.06,1.0,0.7,0
24.7,64.7,0.13,1.1,0.7,0
29.7,55.5,0.18,1.4,0.55,0
26.6,47.7,0.05,1.1,0.52,1
26.8,48.8,0.06,1.3,0.49,1
25.1,27.3,0.05,1.1,1.06,-1
26.0,25.8,0.02,1.1,0.99,0
25.3,24.7,0.01,1.1,1.15,-1
24.3,26.0,0.04,1.1,0.82,-1
25.4,23.3,0.13,1.1,0.88,-1
24.4,25.6,0.02,1.4,1.09,-1
25.0,23.0,0.12,1.1,0.75,0
23.8,24.2,0.22,1.1,0.55,0
23.6,27.3,0.02,1.1,0.95,0
23.9,24.8,0.1,1.1,0.55,0
22.9,32.2,0.03,1.3,0.92,-1
22.8,29.8,0.06,1.4,1.05,-1
22.7,29.9,0.06,1.4,0.58,-1
22.8,29.8,0.04,1.3,0.58,0
24.1,24.4,0.04,1.3,1.25,-1
21.8,24.2,0.16,1.2,0.64,0
23.2,24.0,0.06,1.2,1.13,-1
23.1,23.9,0.09,1.1,1.34,-1
22.8,23.7,0.09,1.1,0.68,0
23.7,26.3,0.09,1.0,0.77,0
24.4,28.2,0.05,1.1,0.97,-1
24.8,28.8,0.08,1.0,0.92,-2
24.7,28.5,0.08,1.1,1.03,-1
25.5,22.7,0.2,1.4,0.7,0
24.7,28.6,0.06,1.1,1.0,0
24.0,30.7,0.02,1.1,0.74,0
25.9,25.9,0.11,1.7,0.75,0
24.9,27.3,0.04,1.1,1.03,0
25.6,23.1,0.11,1.3,1.48,-1
22.9,29.1,0.03,1.1,1.16,1
24.0,26.0,0.1,1.3,0.92,-1
23.2,31.5,0.05,1.1,1.01,0
23.2,31.5,0.05,1.1,0.86,0
23.3,33.0,0.04,1.1,1.05,-1
23.5,33.6,0.03,1.4,0.58,-1
23.8,30.8,0.04,1.1,0.55,-1
23.7,32.8,0.02,1.1,0.65,0
24.7,30.8,0.01,1.0,0.55,0
24.7,30.8,0.01,1.1,0.83,0
23.9,30.3,0.05,1.1,0.72,-2
23.8,31.7,0.03,1.1,0.86,-1
23.6,32.1,0.03,1.1,1.39,0
23.6,32.5,0.03,1.1,0.82,0
23.9,33.0,0.03,1.1,0.64,-1
24.1,31.3,0.02,1.1,0.8,0
24.1,28.9,0.05,1.1,0.46,-1
25.0,28.0,0.02,1.1,1.0,0
24.3,27.2,0.06,1.1,1.01,0
24.4,26.6,0.04,1.1,0.7,1
24.6,28.0,0.04,1.1,0.73,0
24.2,23.2,0.09,1.0,0.62,-1
23.9,23.6,0.09,1.0,0.9,-1
25.6,22.0,0.06,1.1,0.85,0
25.1,22.9,0.04,1.0,1.16,-1
24.4,25.0,0.02,1.4,0.7,0
24.7,24.5,0.04,1.1,0.66,-1
24.7,23.8,0.0,1.1,0.54,0
23.9,24.0,0.08,1.3,0.91,-1
23.6,26.4,0.03,1.1,0.52,0
24.3,23.6,0.22,1.1,0.7,1
23.7,26.3,0.08,1.4,1.11,-1
24.0,25.4,0.1,1.1,0.73,0
24.2,22.7,0.11,1.1,1.17,0
24.3,22.4,0.2,1.1,1.04,0
23.7,24.2,0.03,1.1,0.84,-1
24.0,25.3,0.04,1.1,0.8,0
25.0,25.9,0.02,1.1,0.75,0
24.8,22.0,0.23,2.1,1.05,0
24.4,25.3,0.09,1.1,1.03,1
25.0,23.8,0.03,1.1,1.49,-1
23.8,23.6,0.14,1.3,1.06,-1
23.6,23.9,0.11,1.1,0.83,0
22.9,27.2,0.16,1.4,1.15,-2
23.1,26.9,0.04,1.1,0.82,-1
23.5,29.8,0.02,1.1,1.15,0
23.0,26.4,0.07,1.0,0.98,-2
23.8,25.6,0.13,1.2,1.24,-1
23.3,24.9,0.17,1.4,1.08,-2
24.0,25.6,0.14,1.1,1.05,-1
24.0,25.6,0.14,1.5,1.31,-2
24.0,25.6,0.14,2.1,1.45,-1
23.6,26.4,0.08,1.1,0.74,-1
23.7,24.7,0.07,1.1,0.8,-2
24.7,30.8,0.04,1.1,1.03,-1
24.0,27.9,0.03,1.1,1.08,1
24.2,24.9,0.03,1.4,1.29,-1
23.3,26.2,0.05,1.1,0.92,0
23.9,24.3,0.12,1.1,1.22,-2
23.1,26.9,0.08,1.1,1.18,-1
24.5,22.2,0.22,1.1,0.7,0
23.9,23.4,0.06,1.4,1.04,-1
24.6,23.0,0.06,1.1,0.71,1
24.8,22.3,0.03,1.0,1.21,0
24.3,26.1,0.05,1.4,0.8,-1
24.5,26.5,0.08,1.1,0.99,1
23.8,26.0,0.12,1.2,0.65,0
23.7,29.6,0.04,1.1,0.68,-1
23.7,26.0,0.08,1.1,1.04,0
23.7,27.8,0.13,1.1,0.68,0
25.0,33.1,0.1,1.0,0.83,1
23.7,27.6,0.12,1.1,0.79,-1
23.7,27.4,0.11,1.1,0.62,0
23.4,26.4,0.09,1.3,0.75,0
23.2,27.7,0.09,1.1,1.1,-1
23.3,27.6,0.12,1.1,1.1,0
22.9,28.2,0.08,1.2,1.06,0
22.6,25.7,0.04,1.2,0.71,0
23.2,27.9,0.1,1.1,0.77,0
24.9,31.6,0.09,1.1,0.54,0
24.9,31.5,0.09,1.1,0.62,0
24.1,29.2,0.29,1.1,0.91,-1
21.0,24.6,0.15,1.1,1.24,0
22.3,26.5,0.02,1.3,1.43,-1
22.3,25.6,0.02,1.1,0.77,0
23.0,24.5,0.36,1.2,0.63,0
23.8,24.6,0.03,1.1,0.7,-1
23.9,24.7,0.14,1.1,1.22,-1
23.6,24.5,0.09,1.0,0.97,-1
23.6,24.5,0.09,1.2,0.94,-2
